channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
3540,7200,1970-01-01T00:01:12,0.791,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3541,7200,1970-01-01T00:01:12,0.958,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3542,7200,1970-01-01T00:01:12,0.857,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3543,7200,1970-01-01T00:01:12,0.832,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3544,7200,1970-01-01T00:01:12,0.9,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3545,7200,1970-01-01T00:01:12,0.937,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3546,7200,1970-01-01T00:01:12,0.915,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3547,7200,1970-01-01T00:01:12,0.873,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3548,7200,1970-01-01T00:01:12,0.955,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3549,7200,1970-01-01T00:01:12,0.92,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3550,7200,1970-01-01T00:01:12,0.883,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3551,7680,1970-01-01T00:01:16.800000,0.949,11999,1970-01-01T00:02:00,"[16, 17, 18, 19, 20, 21, 22, 23, 24]"
3552,7680,1970-01-01T00:01:16.800000,0.959,11999,1970-01-01T00:02:00,"[16, 17, 18, 19, 20, 21, 22, 23, 24]"
3553,7200,1970-01-01T00:01:12,0.919,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3554,7200,1970-01-01T00:01:12,0.954,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3555,7200,1970-01-01T00:01:12,0.841,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3556,7200,1970-01-01T00:01:12,0.875,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3557,7200,1970-01-01T00:01:12,0.823,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3558,7200,1970-01-01T00:01:12,0.943,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3559,7200,1970-01-01T00:01:12,0.98,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3560,7200,1970-01-01T00:01:12,0.967,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3561,7200,1970-01-01T00:01:12,0.898,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3562,7680,1970-01-01T00:01:16.800000,0.983,11999,1970-01-01T00:02:00,"[16, 17, 18, 19, 20, 21, 22, 23, 24]"
3563,7200,1970-01-01T00:01:12,0.905,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3564,7200,1970-01-01T00:01:12,0.98,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3565,7200,1970-01-01T00:01:12,0.971,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3566,7200,1970-01-01T00:01:12,0.964,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3567,7200,1970-01-01T00:01:12,0.939,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3568,7200,1970-01-01T00:01:12,0.978,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3569,7200,1970-01-01T00:01:12,0.978,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3570,7200,1970-01-01T00:01:12,0.969,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3571,7200,1970-01-01T00:01:12,0.963,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3572,7200,1970-01-01T00:01:12,0.739,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3573,7200,1970-01-01T00:01:12,0.802,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3574,7200,1970-01-01T00:01:12,0.837,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3575,7200,1970-01-01T00:01:12,0.827,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3576,7200,1970-01-01T00:01:12,0.952,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3577,7200,1970-01-01T00:01:12,0.921,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3578,7200,1970-01-01T00:01:12,0.862,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3579,7200,1970-01-01T00:01:12,0.889,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3580,7200,1970-01-01T00:01:12,0.863,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3581,7200,1970-01-01T00:01:12,0.867,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3582,7200,1970-01-01T00:01:12,0.906,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3583,7200,1970-01-01T00:01:12,0.894,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3584,7200,1970-01-01T00:01:12,0.86,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3585,7200,1970-01-01T00:01:12,0.798,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3586,7200,1970-01-01T00:01:12,0.784,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3587,7200,1970-01-01T00:01:12,0.81,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3588,7200,1970-01-01T00:01:12,0.817,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3589,7200,1970-01-01T00:01:12,0.76,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3590,7200,1970-01-01T00:01:12,0.89,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3591,7200,1970-01-01T00:01:12,0.859,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3592,7200,1970-01-01T00:01:12,0.819,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3593,7200,1970-01-01T00:01:12,0.877,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3594,7200,1970-01-01T00:01:12,0.904,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3595,7200,1970-01-01T00:01:12,0.801,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3596,7200,1970-01-01T00:01:12,0.914,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3597,7200,1970-01-01T00:01:12,0.895,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3598,7200,1970-01-01T00:01:12,0.877,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3599,7200,1970-01-01T00:01:12,0.902,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3600,7200,1970-01-01T00:01:12,0.948,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3601,7200,1970-01-01T00:01:12,0.895,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3602,7200,1970-01-01T00:01:12,0.895,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3603,7200,1970-01-01T00:01:12,0.938,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3604,7200,1970-01-01T00:01:12,0.929,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3605,7200,1970-01-01T00:01:12,0.789,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3606,7200,1970-01-01T00:01:12,0.793,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3607,7200,1970-01-01T00:01:12,0.785,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3608,7200,1970-01-01T00:01:12,0.807,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3609,7200,1970-01-01T00:01:12,0.667,12960,1970-01-01T00:02:09.600000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3610,7200,1970-01-01T00:01:12,0.99,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3611,7200,1970-01-01T00:01:12,0.997,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3612,7200,1970-01-01T00:01:12,0.933,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3613,7200,1970-01-01T00:01:12,0.994,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3614,7200,1970-01-01T00:01:12,0.943,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3615,7200,1970-01-01T00:01:12,0.928,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3616,7200,1970-01-01T00:01:12,0.959,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3617,7200,1970-01-01T00:01:12,0.981,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
3618,7200,1970-01-01T00:01:12,0.997,11520,1970-01-01T00:01:55.200000,"[15, 16, 17, 18, 19, 20, 21, 22, 23]"
